tweets,location
"Well!  Nobody told you to sign up with a website developed in college dorm, put your shit on it and keep staring at it to get your mind altered. You went to it! It didn't come to you! Leave  alone. ","Toronto, Ontario"
"  Really us! Haha! Only true stoners know!

Shoutout to  for the hilarious video of  ","Juneau, Alaska"
"FACEBOOK HAS FAILED TO STOP ANTI-MUSLIM HATE GROUPS, DESPITE MARK ZUCKERBERG PLEDGE
    ",
Facebook is dead on site. Your private information which you freely provide is used against you in advertisements. Your newsfeed is misleading &amp; is not creditable. Oh and good luck on gaining &amp;/or maintaining knowledge. It's used case is simply to be nosey ,"Brooklyn, NY"
FB too it upon themselves to remove my post. it looked like spam? I said it wasn't. So they restored it. Y would I post spam on my own wall Their ads are the spam. I'm thinking they don't like the source or content of the news article or my comment.    ,"Wisconsin, USA"
Just leaving this heaving because its everything.   ,????
I deleted  after seeing them sensor conservative views and admit to stealing my privacy. I will say this... best decision in a loooong time. If you have  delete it. Youll thank me later.   ,"Trenton, OH"
Deleting your facebook account is a lot harder then you would think i mesn my god i made the damn account when i was fourth in college now and cant figure out how to delete that shit    ,
Reasons to join  and invite my friends....             ,California USA
  Zuckerberg and Congress          ,London
  My FB friends suck. ,"Montgomery, AL"
"  Is Mark  or Edward  a Cyber-Criminal?
 ",
"Hungary-based teams Revealu app allows users to easily request tech platforms to take down their data (as per the GDPR requirement) ""if the amount of  [personal] data out there doesn't scare you, it should"".  Good timing  ",
"Great piece by  on  which highlights that ""Lawmakers still dont really understand how Facebook works"". Just another example of why Congress needs the Office of Technology Assessment  ","Washington, DC"
  We cannot let the complicated nature (to me anyway) of Cambridge Analytica's havesting of Facebook data and using that dat,New York
  Deleting your Facebook account wont keep it from tracking you    ,
"  (Per The Red Elephants) 

Spotted outside NY  office...

The IRL meme game by street artists is strong. 

",
"  The  reports that facebook ""moves responsibility for [1.5bn] users from Ireland to the US where privacy laws are less",
  How To?   facebook    Always   ,Iraq  Arbil
"  Senator Dick Durbin: ""Would you be comfortable sharing with us the name of the hotel you stayed in last night?""

Mark Zuckerb",Budapest 
"My latest  column, Facebook and Nerdpocalypse: Regulating the Knowledge Gap   ",
"How is  different from  Such apps supported/harvested by twitter can update your profile, tweet on your behalf, follow anybody and also access your direct messages!       ","Mumbai, Maharashtra"
Has the  given  pause about  on the  platform? How should you proceed with your  efforts? ,"Tampa, FL"
".   consumers deserve answers from  regarding their data collection practices, which have raised serious concerns about protecting consumer privacy,       ","Denver, CO"
  So for those who have left  you now have to re-join in order to find out the information being held about you! T,United States
  The Truth About Facebook by        ,"Los Angeles, CA"
What do you think about Zuckerberg's apology? -   ,"Auburn, AL"
"How firms you have never interacted with can target your Facebook
Advertisers are seemingly able to access accounts with no input from the user       ",Mansoura - Egypt
 Google should have been first! ,"Washington,  DC"
"  I'm so glad  did some testing on the  data policy and privacy settings. 

They do as little as","New Jersey, USA"
"  We need more regulatory protection, not less.

 ",Global
"We need more regulatory protection, not less.

 ",
I have no more laughs to give.      ,NYC
"WATCH: Love it or hate it, why  will always be with you even if you delete it  ",Middle East & North Africa
   Faces Class Action Lawsuit Challenging Its Use Of    ,Global
  After spying and hacking the data of millions of users  by  what the importance of this f****** warning n,Global
"  Since, everybody is talking about  now, here is our legal encounter with FB way back in 2015 (on Rooms",
"How to delete everything  knows about you
 
 
.
 ",Tweeting our opinon for ROI
"With decades of support from the military-industrial complex, the Silicon Valley rewrote the rules in their favour.  ",Canada
"Just wondering: will Americans be still angry at Facebook for the Cambridge Analytics scandal if the data collected illegally was used by MacDonald, Apple or some other ""American dream"" business rather than government elections?   ","Torino, Piemonte"
"Wanted to target a microaudience via  on Thursday but was too mentally fatigued to decide on a budget. I didn't.  

Alas! I am so shocked to see that I can't target the same audience again. Told to increase audience size. This hurts!
 chaos is real! ","Lagos, Nigeria"
It appears the Cambridge Analytics scandal finally took its toll on Facebook customer service policy    # ,"Torino, Piemonte"
"  Atlantean Gardens has been unfairly, illegally, and consistently discriminated against and censored by Facebook. We will","Amsterdam, The Netherlands"
"# I believe we call this a marketing problem.#
but mark is lucky the user is dumb, he will forget eventually

 
 
 ","Casablanca, Grand Casablanca"
"
                  # cr7      ","New Delhi, India"
Deleting your Facebook account wont keep it from tracking you     ,"New York, NY"
Points of View: Right Wing Versus Left Wing  Comes to Washington   ,"New York, NY"
"Facebook Rolls Out European-Style Privacy Protections

Read Article: 

         ",Qatar
"Jazz: (yesterday) what do want to listen to?

Me: (for the first time in forever) Destiny 7? No.. its Zero 7 

WHAT THE ACTUAL FUCK FACEBOOK    ",London / Leamington Spa
"""Don't Bullsh*t Me""  Congress Woman Had Enough of         via ",
"   
Want an action need to block an account of fake person who is running her account by using the pics of my friend. Fake A/c - singh.alisha.359 pls help in blocking this account from immediate effect.",
 How do I opt out of your awful new email terms of service that allow you to mine my contacts personal information?? This is no better than the  caused by the   hack.,Various
"I found this petition a few days ago, but it is not going that strong. PLEASE EVERYONE RETWEET AND SIGN IT!! 
    ",Slovak Republic
"Do you have any trust issues on facebook after cambridge analytica scandal?
1) Yes
2) No

           ",India
  BBC News - Facebook scandal 'hit 87 million users'    ,"California, USA"
And so it begins.... the  scandal has now prompted this huge pre  personal data review. If you use  i would urge you to review your settings now.. this is your chance to take back control.  ,"Letchworth, England"
There is a lot of personal information out there that can make you vulnerable. But there are some steps you can take to help secure your privacy.     ,Europe
"      WHAT KIND OF  ALLOWS FOR A  TO STOP HER   ? 

3YRS AND 4MTHS NOW YOU AND      ","London, England"
  We've got that  check out our   Round Up featuring  (as ever). This week we are,"Folkestone, England"
"If you have not paid for the product, youre the product!  ",Rajkot
"This project landed in my inbox, from one of the various freelancing portals that I'm a part of. That's how brazen it is.
    ","Hyderabad, India"
"Somebody in Congress forgot to ask Zuckerberg about how a company is collecting Facebook photos, without FB users knowing about it, to create a giant facial recognition database to sell to gov't agencies.


",London or Spain or Wherever
"Audit Approved of Facebook Policies, Even After Cambridge Analytica Leak via nytimes       ",
"[Op-Ed] During Zuckerbergs testimony he claimed to be ignorant of what are known as shadow profiles. | Saadia Gardezi
 saadiagardezi facebook fbnewsroom finkd  POTUS  ","Sind, Pakistan"
"  This proves that investigative journalism is alive and kicking, thank you  and  your hard","Not Rochester, South East"
"This proves that investigative journalism is alive and kicking, thank you  and  your hard work has raised to brilliant stories that have highlighted scandals of enormous proportions   ", Chatham 
"  Silenced for being black, female conservatives, supporters of Donald Trump and the MAGA movement.  ",In the Mist 
" Check out the third  episode of the  with this INSTANT mp3  link:



        ",
"Senator : Would you mind if we ask which hotel you are put up in ?

Zucku : Not at all,as long as you pick up the bill.

","Bengaluru, India"
"[Op-Ed] During Zuckerbergs testimony he claimed to be ignorant of what are known as shadow profiles. | Saadia Gardezi
        ",Pakistan
" Testifies  [VIDEO]    via   


 
 
 
  ",In The Cut
The Security Risks of Logging in With Facebook   via      ,
The Truth About Facebook by           ,L.A. | NYC | USA
Naw Facebook is the last place we can share our problems anymore..... because they will exploit our problems and generate a votebank for the highest bidding party !    , on Mars with tesla
Must read tweet chain about Facebook Canada Head of Public Policy 'Kevin Chan'  is testifying   ,St.Louis
  Facebook grilled by Members of Parliament over Cambridge Analytica scandal.  The company was forced to answer hard hitting,Fredericton
"   Is it Possible to    ?

  ","LES, NYC"
"  ""What Facebook's GDPR Policy Changes Mean for You""       ","Bangalore, INDIA"
"Umm how? But more importantly, WHY?          ","Philadelphia, PA"
Facebook sends Cambridge Analytica warning to users    ,London
Seriously?          -  Is Even Keeping Track Of You Offline ,
"  Audit Approved of Facebook Policies, Even After Cambridge Analytica Leak via   ","Belo Horizonte, MG - Brasil"
"  ... the digital revolution, its impact on media platforms e.g   Listen to Media Talk Ft Cel",Africa
"... the digital revolution, its impact on media platforms e.g   Listen to Media Talk Ft Celia Roux by The 1873 Network on  
      
","South Africa, Johannesburg"
  After scandals such as  or  it was about time Europeans were empowered to join forces &amp; f,"London, England"
"  Dear  ,
You sold my information, pics and contacts to advertisers to profit from my life story. Please send my","Sparta, MO"
"  16.  4/10/18 2009 Interview with Facebook CEO - BBC: ""And you wont sell it?"" FB: ""No! Of course not.""
H/T ","Grand Terrace, CA"
"  18.  4/10/18 
[M]ark [Z]uckerberg's testimony 1 OF 2  
   
","Grand Terrace, CA"
"  15.  4/10/18

WHY IS MZ NOT UNDER OATH???
   
","Grand Terrace, CA"
"  19.  4/10/18 
[M]ark [Z]uckerberg's testimony 2 OF 2  
   
","Grand Terrace, CA"
"  20.  4/10/18 
Run program, ""Show concern"".
Program failure.
Run program, ""Human emotion"".
Program failure.
Run pr","Grand Terrace, CA"
